locus_tag	ftype	length_bp	gene	EC_number	COG	product
PROD_00428	CDS	915	rhaR_1			HTH-type transcriptional activator RhaR
PROD_00429	CDS	1689	dauA		COG0659	C4-dicarboxylic acid transporter DauA
PROD_00430	CDS	111				hypothetical protein
PROD_00431	CDS	357	yjbR		COG2315	putative protein YjbR
PROD_00432	CDS	459				hypothetical protein
PROD_00433	CDS	900	per1	3.5.2.6		Extended-spectrum beta-lactamase PER-1
PROD_00434	CDS	1557				hypothetical protein
PROD_00435	CDS	1194				hypothetical protein
PROD_00436	CDS	1452	patA	2.3.1.-	COG1696	Peptidoglycan O-acetyltransferase
PROD_00437	CDS	873				hypothetical protein
PROD_00438	CDS	1383	algC	5.4.2.2		Phosphomannomutase/phosphoglucomutase
PROD_00439	CDS	630				hypothetical protein
PROD_00440	CDS	1035	nrnA	3.1.-.-	COG0618	Bifunctional oligoribonuclease and PAP phosphatase NrnA
PROD_00441	CDS	912				hypothetical protein
PROD_00442	CDS	534	cobC	3.1.3.73	COG0406	Adenosylcobalamin/alpha-ribazole phosphatase
PROD_00443	CDS	1344				hypothetical protein
PROD_00444	CDS	528				hypothetical protein
PROD_00445	CDS	561				hypothetical protein
PROD_00446	CDS	873				hypothetical protein
PROD_00447	CDS	2235				hypothetical protein
PROD_00448	tRNA	74				tRNA-Met(cat)
PROD_00449	CDS	840				hypothetical protein
PROD_00450	CDS	1161				hypothetical protein
PROD_00451	CDS	1305				hypothetical protein
PROD_00452	CDS	570				hypothetical protein
PROD_00453	CDS	1215	trpB	4.2.1.20	COG0133	Tryptophan synthase beta chain
PROD_00454	CDS	1419	trpE	4.1.3.27	COG0147	Anthranilate synthase component 1
PROD_00455	CDS	564	pabA	2.6.1.85	COG0512	Aminodeoxychorismate synthase component 2
PROD_00456	CDS	999	trpD	2.4.2.18	COG0547	Anthranilate phosphoribosyltransferase
PROD_00457	CDS	810	trpC	4.1.1.48		Indole-3-glycerol phosphate synthase
PROD_00458	CDS	666	trpF	5.3.1.24	COG0135	N-(5'-phosphoribosyl)anthranilate isomerase
PROD_00459	CDS	777	trpA	4.2.1.20	COG0159	Tryptophan synthase alpha chain
PROD_00460	CDS	1806				hypothetical protein
PROD_00461	CDS	399				hypothetical protein
PROD_00462	CDS	2034	hypBA1	3.2.1.185		Non-reducing end beta-L-arabinofuranosidase
PROD_00463	CDS	4758				hypothetical protein
PROD_00464	CDS	1656				hypothetical protein
PROD_00465	CDS	1794				hypothetical protein
PROD_00466	CDS	678				hypothetical protein
PROD_00467	CDS	798				hypothetical protein
PROD_00468	CDS	96				hypothetical protein
PROD_00469	CDS	4455				hypothetical protein
PROD_00470	CDS	1545				hypothetical protein
PROD_00471	CDS	702				hypothetical protein
PROD_00472	CDS	222				hypothetical protein
PROD_00473	CDS	3237				hypothetical protein
PROD_00474	CDS	1932				hypothetical protein
PROD_00475	CDS	1599				hypothetical protein
PROD_00476	CDS	2091				hypothetical protein
PROD_00477	CDS	2583	xyl3A_1	3.2.1.37	COG1472	Xylan 1,4-beta-xylosidase
PROD_00478	CDS	4089	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
PROD_00479	CDS	237				hypothetical protein
PROD_00480	CDS	1404				hypothetical protein
PROD_00481	CDS	1269	glgM	2.4.1.342	COG0438	Alpha-maltose-1-phosphate synthase
PROD_00482	CDS	1920				hypothetical protein
PROD_00483	CDS	705	fnr		COG0664	Anaerobic regulatory protein
PROD_00484	CDS	936	ytlR_1	2.7.1.-	COG1597	Putative lipid kinase YtlR
PROD_00485	CDS	1011	miaA_1	2.5.1.75	COG0324	tRNA dimethylallyltransferase
PROD_00486	CDS	1011	gapA	1.2.1.12	COG0057	Glyceraldehyde-3-phosphate dehydrogenase A
PROD_00487	CDS	435	mscL		COG1970	Large-conductance mechanosensitive channel
PROD_00488	CDS	1278				hypothetical protein
PROD_00489	CDS	2391				hypothetical protein
PROD_00490	CDS	1611	guaA	6.3.5.2		GMP synthase [glutamine-hydrolyzing]
PROD_00491	CDS	732	murU	2.7.7.-	COG1208	N-acetylmuramate alpha-1-phosphate uridylyltransferase
PROD_00492	CDS	315				hypothetical protein
PROD_00493	CDS	3333				hypothetical protein
PROD_00494	CDS	1044	yhcG_2	3.1.-.-	COG4804	Putative nuclease YhcG
PROD_00495	CDS	693				hypothetical protein
PROD_00496	CDS	699				hypothetical protein
PROD_00497	CDS	1512				hypothetical protein
PROD_00498	CDS	1260	hutI	3.5.2.7	COG1228	Imidazolonepropionase
PROD_00499	CDS	1482	hutH	4.3.1.3	COG2986	Histidine ammonia-lyase
PROD_00500	CDS	2016	hutU	4.2.1.49	COG2987	Urocanate hydratase
PROD_00501	CDS	1722				hypothetical protein
PROD_00502	CDS	1539	rny_1	3.1.-.-	COG1418	Ribonuclease Y
PROD_00503	CDS	309				hypothetical protein
PROD_00504	CDS	303				hypothetical protein
PROD_00505	CDS	633				hypothetical protein
PROD_00506	CDS	903	rfbA	2.7.7.24	COG1209	Glucose-1-phosphate thymidylyltransferase 1
PROD_00507	CDS	2478		2.7.10.-		Putative tyrosine-protein kinase in cps region
PROD_00508	CDS	450				hypothetical protein
PROD_00509	CDS	1935	galK_1	2.7.1.6		Galactokinase
PROD_00510	CDS	597	ylaC			RNA polymerase sigma factor YlaC
PROD_00511	CDS	651	rpe	5.1.3.1		Ribulose-phosphate 3-epimerase
PROD_00512	CDS	129				hypothetical protein
PROD_00513	CDS	978	fmt	2.1.2.9		Methionyl-tRNA formyltransferase
PROD_00514	CDS	1809	clcB			Voltage-gated ClC-type chloride channel ClcB
PROD_00515	CDS	570	tsaC	2.7.7.87		Threonylcarbamoyl-AMP synthase
PROD_00516	CDS	1632	prfC		COG4108	Peptide chain release factor 3
PROD_00517	CDS	546				hypothetical protein
PROD_00518	CDS	666				hypothetical protein
PROD_00519	CDS	987	glkA	2.7.1.2		Glucokinase
PROD_00520	CDS	1539	rapZ			RNase adapter protein RapZ
PROD_00521	CDS	4266				hypothetical protein
PROD_00522	CDS	2826				hypothetical protein
PROD_00523	CDS	2949				hypothetical protein
PROD_00524	CDS	1608	groL		COG0459	60 kDa chaperonin
PROD_00525	CDS	270	groS		COG0234	10 kDa chaperonin
PROD_00526	CDS	1356				hypothetical protein
PROD_00527	CDS	1773	sppA	3.4.21.-	COG0616	Protease 4
PROD_00528	CDS	1173	lpxK	2.7.1.130	COG1663	Tetraacyldisaccharide 4'-kinase
PROD_00529	CDS	585	punA	2.4.2.1	COG0005	Purine nucleoside phosphorylase 1
PROD_00530	CDS	987	thiL	2.7.4.16	COG0611	Thiamine-monophosphate kinase
PROD_00531	CDS	594				hypothetical protein
PROD_00532	CDS	747	fabG	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
PROD_00533	CDS	678	truC	5.4.99.26	COG0564	tRNA pseudouridine synthase C
PROD_00534	CDS	285				hypothetical protein
PROD_00535	CDS	4719				hypothetical protein
PROD_00536	CDS	2313	bamA_2			Outer membrane protein assembly factor BamA
PROD_00537	CDS	183				hypothetical protein
PROD_00538	CDS	2532	mutS2	3.1.-.-		Endonuclease MutS2
PROD_00539	tRNA	88				tRNA-Ser(tga)
PROD_00540	tRNA	75				tRNA-Thr(tgt)
PROD_00541	CDS	534				hypothetical protein
PROD_00542	CDS	951	rgtE	2.4.1.-	COG0463	Dodecaprenyl-phosphate galacturonate synthase
PROD_00543	CDS	597				hypothetical protein
PROD_00544	CDS	693				hypothetical protein
PROD_00545	CDS	1050				hypothetical protein
PROD_00546	CDS	678				hypothetical protein
PROD_00547	CDS	2085	prlC	3.4.24.70	COG0339	Oligopeptidase A
PROD_00548	CDS	447	tadA_1	3.5.4.33		tRNA-specific adenosine deaminase
PROD_00549	CDS	1719				hypothetical protein
PROD_00550	CDS	528	ygfA	6.3.3.2	COG0212	5-formyltetrahydrofolate cyclo-ligase
PROD_00551	CDS	252				hypothetical protein
PROD_00552	CDS	1113	recF		COG1195	DNA replication and repair protein RecF
PROD_00553	CDS	681				hypothetical protein
PROD_00554	CDS	477	ribH	2.5.1.78		6,7-dimethyl-8-ribityllumazine synthase
PROD_00555	CDS	1329	axe7A_1	3.1.1.-	COG3458	Acetyl esterase Axe7A
PROD_00556	CDS	753	exoA	3.1.11.2	COG0708	Exodeoxyribonuclease
PROD_00557	CDS	411				hypothetical protein
PROD_00558	CDS	2073	dsbD	1.8.1.8		Thiol:disulfide interchange protein DsbD
PROD_00559	CDS	1290				hypothetical protein
PROD_00560	CDS	642				hypothetical protein
PROD_00561	CDS	1506	glnA_1	6.3.1.2	COG0174	Glutamine synthetase
PROD_00562	CDS	2193	glnA_2	6.3.1.2		Glutamine synthetase
PROD_00563	CDS	885		3.5.1.77		N-carbamoyl-D-amino acid hydrolase
PROD_00564	CDS	1065	aguA	3.5.3.12	COG2957	Agmatine deiminase
PROD_00565	CDS	1338				hypothetical protein
PROD_00566	CDS	960		1.13.12.16	COG2070	Nitronate monooxygenase
PROD_00567	tRNA	76				tRNA-Val(cac)
PROD_00568	CDS	519				hypothetical protein
PROD_00569	CDS	1311	ampG		COG0477	Protein AmpG
PROD_00570	CDS	3723				hypothetical protein
PROD_00571	CDS	279				hypothetical protein
PROD_00572	CDS	279	yafQ	3.1.-.-	COG3041	mRNA interferase toxin YafQ
	repeat_region	4274				
PROD_00573	CDS	333	cas2	3.1.-.-		CRISPR-associated endoribonuclease Cas2
PROD_00574	CDS	945	cas1	3.1.-.-		CRISPR-associated endonuclease Cas1
PROD_00575	CDS	4179	cas9	3.1.-.-		CRISPR-associated endonuclease Cas9
PROD_00576	CDS	204				hypothetical protein
PROD_00577	CDS	810	tcdA	6.1.-.-	COG1179	tRNA threonylcarbamoyladenosine dehydratase
PROD_00578	CDS	1038	rlmN	2.1.1.192	COG0820	Dual-specificity RNA methyltransferase RlmN
PROD_00579	CDS	978				hypothetical protein
PROD_00580	CDS	1290	pdxA	1.1.1.262		4-hydroxythreonine-4-phosphate dehydrogenase
PROD_00581	CDS	1020				hypothetical protein
PROD_00582	CDS	123				hypothetical protein
PROD_00583	CDS	1254	norR			Anaerobic nitric oxide reductase transcription regulator NorR
PROD_00584	CDS	564				hypothetical protein
PROD_00585	CDS	777				hypothetical protein
PROD_00586	CDS	399				hypothetical protein
PROD_00587	tRNA	75				tRNA-His(gtg)
PROD_00588	CDS	798	rlmB	2.1.1.185		23S rRNA (guanosine-2'-O-)-methyltransferase RlmB
PROD_00589	CDS	522	yfkJ	3.1.3.48	COG0394	Low molecular weight protein-tyrosine-phosphatase YfkJ
PROD_00590	CDS	195	tatA			Sec-independent protein translocase protein TatA
PROD_00591	CDS	774	tatC		COG0805	Sec-independent protein translocase protein TatC
PROD_00592	CDS	1476	ndhI_3	1.6.5.11		NAD(P)H-quinone oxidoreductase subunit I, chloroplastic
PROD_00593	CDS	1416				hypothetical protein
PROD_00594	CDS	444				hypothetical protein
PROD_00595	CDS	2472	srmB	3.6.4.13		ATP-dependent RNA helicase SrmB
PROD_00596	CDS	753				hypothetical protein
PROD_00597	CDS	903				hypothetical protein
PROD_00598	CDS	1167				hypothetical protein
PROD_00599	CDS	585				hypothetical protein
PROD_00600	CDS	471				hypothetical protein
PROD_00601	CDS	570				hypothetical protein
PROD_00602	CDS	1293				hypothetical protein
PROD_00603	CDS	1137	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
PROD_00604	CDS	864				hypothetical protein
PROD_00605	CDS	1488				hypothetical protein
PROD_00606	CDS	156				hypothetical protein
PROD_00607	CDS	606				hypothetical protein
PROD_00608	CDS	1326	ugd_1	1.1.1.22	COG1004	UDP-glucose 6-dehydrogenase
PROD_00609	CDS	1137				hypothetical protein
PROD_00610	CDS	924				hypothetical protein
PROD_00611	CDS	1140				hypothetical protein
PROD_00612	CDS	807				hypothetical protein
PROD_00613	CDS	993	arnC_1	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
PROD_00614	CDS	906				hypothetical protein
PROD_00615	CDS	1059				hypothetical protein
PROD_00616	CDS	1191				hypothetical protein
PROD_00617	CDS	288				hypothetical protein
PROD_00618	CDS	615				hypothetical protein
PROD_00619	CDS	243				hypothetical protein
PROD_00620	CDS	1113				hypothetical protein
PROD_00621	CDS	1758	menD_1	2.2.1.9		2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase
PROD_00622	CDS	891				hypothetical protein
PROD_00623	CDS	834	ucpA	1.-.-.-		Oxidoreductase UcpA
PROD_00624	CDS	1518				hypothetical protein
PROD_00625	CDS	1731				hypothetical protein
PROD_00626	CDS	972				hypothetical protein
PROD_00627	CDS	306	yjaB_2	2.3.1.-	COG0454	putative N-acetyltransferase YjaB
PROD_00628	CDS	255				hypothetical protein
PROD_00629	CDS	510				hypothetical protein
PROD_00630	CDS	429				hypothetical protein
PROD_00631	CDS	567				hypothetical protein
PROD_00632	CDS	210				hypothetical protein
PROD_00633	CDS	315				IS1182 family transposase ISBf4
PROD_00634	CDS	843				IS1182 family transposase ISBthe2
PROD_00635	misc_RNA	401				tmRNA
PROD_00636	tmRNA	399	ssrA			transfer-messenger RNA, SsrA
PROD_00637	CDS	210				hypothetical protein
PROD_00638	CDS	2529				hypothetical protein
PROD_00639	CDS	1071				hypothetical protein
PROD_00640	CDS	1527				hypothetical protein
PROD_00641	CDS	1218				hypothetical protein
PROD_00642	CDS	1164	mshA_2	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
PROD_00643	CDS	636	dapH_1	2.3.1.89		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
PROD_00644	CDS	1152				hypothetical protein
PROD_00645	CDS	1047	gtf1_1	2.4.1.-		Glycosyltransferase Gtf1
PROD_00646	CDS	435				hypothetical protein
PROD_00647	CDS	1023	arnC_2	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
PROD_00648	CDS	1194	arnB	2.6.1.87	COG0399	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase
PROD_00649	CDS	585				hypothetical protein
PROD_00650	CDS	1917	pglF	4.2.1.135	COG1086	UDP-N-acetyl-alpha-D-glucosamine C6 dehydratase
PROD_00651	CDS	627	wecA	2.7.8.40		UDP-N-acetylgalactosamine-undecaprenyl-phosphate N-acetylgalactosaminephosphotransferase
PROD_00652	CDS	414				hypothetical protein
PROD_00653	CDS	1581				hypothetical protein
PROD_00654	CDS	1017				hypothetical protein
PROD_00655	CDS	654				hypothetical protein
PROD_00656	CDS	624	udk_1	2.7.1.48	COG0572	Uridine kinase
PROD_00657	CDS	564				hypothetical protein
PROD_00658	CDS	1926				hypothetical protein
PROD_00659	CDS	1089				hypothetical protein
PROD_00660	CDS	2580				hypothetical protein
PROD_00661	CDS	924				hypothetical protein
PROD_00662	CDS	1527				hypothetical protein
PROD_00663	CDS	966				hypothetical protein
PROD_00664	CDS	255	rpmE2		COG0254	50S ribosomal protein L31 type B
PROD_00665	CDS	552	gpx1	1.11.1.22		Hydroperoxy fatty acid reductase gpx1
PROD_00666	CDS	951	trxB	1.8.1.9	COG0492	Thioredoxin reductase
PROD_00667	CDS	2736				hypothetical protein
PROD_00668	CDS	1521				hypothetical protein
PROD_00669	CDS	3273				hypothetical protein
PROD_00670	tRNA	98				tRNA-Gly(ccc)
PROD_00671	CDS	2904				hypothetical protein
PROD_00672	CDS	726				hypothetical protein
PROD_00673	CDS	426				hypothetical protein
PROD_00674	CDS	1194	tdcB	4.3.1.19	COG1171	L-threonine ammonia-lyase
PROD_00675	CDS	375	yabJ	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
PROD_00676	CDS	2085				hypothetical protein
PROD_00677	CDS	3729	mfd	3.6.4.-		Transcription-repair-coupling factor
PROD_00678	CDS	249				hypothetical protein
PROD_00679	CDS	744	ppm1	2.4.1.-		Polyprenol monophosphomannose synthase
PROD_00680	CDS	768				hypothetical protein
PROD_00681	CDS	1167	cpdA_1	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
PROD_00682	CDS	843	metH_1	2.1.1.13	COG0646	Methionine synthase
PROD_00683	CDS	1323	pyrC	3.5.2.3	COG0044	Dihydroorotase
PROD_00684	CDS	801				hypothetical protein
PROD_00685	CDS	405				hypothetical protein
PROD_00686	CDS	348				hypothetical protein
PROD_00687	CDS	1821	ruvB_1	3.6.4.12		Holliday junction ATP-dependent DNA helicase RuvB
PROD_00688	CDS	834				hypothetical protein
PROD_00689	CDS	378				hypothetical protein
PROD_00690	CDS	1038	asnA	6.3.1.1	COG2502	Aspartate--ammonia ligase
PROD_00691	CDS	1044				hypothetical protein
PROD_00692	tRNA	75				tRNA-Arg(ccg)
PROD_00693	CDS	1227	pepT	3.4.11.4	COG2195	Peptidase T
PROD_00694	CDS	2256	kefB_1			Glutathione-regulated potassium-efflux system protein KefB
PROD_00695	CDS	2913	lptD_1			LPS-assembly protein LptD
PROD_00696	CDS	291				hypothetical protein
PROD_00697	CDS	537				hypothetical protein
PROD_00698	CDS	471				hypothetical protein
PROD_00699	CDS	1779				hypothetical protein
PROD_00700	CDS	2325	rhlB	3.6.4.13		ATP-dependent RNA helicase RhlB
PROD_00701	CDS	825	tagA_1	2.4.1.187	COG1922	N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase
PROD_00702	CDS	1113	mshA_3	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
PROD_00703	CDS	1077	glgA_2	2.4.1.21		Glycogen synthase
PROD_00704	CDS	1092				hypothetical protein
PROD_00705	CDS	1092				hypothetical protein
PROD_00706	CDS	441	dapH_2	2.3.1.89		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
PROD_00707	CDS	744				hypothetical protein
PROD_00708	CDS	837				hypothetical protein
PROD_00709	CDS	975				hypothetical protein
PROD_00710	CDS	519	dapH_3	2.3.1.89		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
PROD_00711	CDS	960				hypothetical protein
PROD_00712	CDS	855				hypothetical protein
PROD_00713	CDS	810				hypothetical protein
PROD_00714	CDS	1149	wbiB	5.1.3.25		dTDP-L-rhamnose 4-epimerase
PROD_00715	CDS	942				hypothetical protein
PROD_00716	CDS	594	dapH_4	2.3.1.89		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
PROD_00717	CDS	1056				hypothetical protein
PROD_00718	CDS	834				hypothetical protein
PROD_00719	CDS	600	dapH_5	2.3.1.89		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
PROD_00720	CDS	1548				hypothetical protein
PROD_00721	CDS	1248				hypothetical protein
PROD_00722	CDS	1317	ugd_2	1.1.1.22	COG1004	UDP-glucose 6-dehydrogenase
PROD_00723	CDS	921				hypothetical protein
PROD_00724	CDS	786				hypothetical protein
PROD_00725	CDS	1569				hypothetical protein
PROD_00726	CDS	618	nusG_1			Transcription termination/antitermination protein NusG
PROD_00727	CDS	1185				hypothetical protein
PROD_00728	CDS	135				hypothetical protein
PROD_00729	CDS	183				hypothetical protein
PROD_00730	tRNA	76				tRNA-Val(tac)
PROD_00731	CDS	735				hypothetical protein
PROD_00732	CDS	1284				hypothetical protein
PROD_00733	CDS	708				hypothetical protein
PROD_00734	CDS	120				hypothetical protein
PROD_00735	CDS	1221				hypothetical protein
PROD_00736	CDS	645				hypothetical protein
PROD_00737	CDS	1245				hypothetical protein
PROD_00738	CDS	999				hypothetical protein
PROD_00739	CDS	429				hypothetical protein
PROD_00740	CDS	204				hypothetical protein
PROD_00741	CDS	1758				hypothetical protein
PROD_00742	CDS	618				hypothetical protein
PROD_00743	CDS	279				hypothetical protein
PROD_00744	CDS	1590				hypothetical protein
PROD_00745	CDS	1212	dnaK_1			Chaperone protein DnaK
PROD_00746	CDS	1917				hypothetical protein
PROD_00747	CDS	918				hypothetical protein
PROD_00748	CDS	735	rfaH			Transcription antitermination protein RfaH
PROD_00749	CDS	159				hypothetical protein
PROD_00750	CDS	1353	purB	4.3.2.2	COG0015	Adenylosuccinate lyase
PROD_00751	CDS	1557				hypothetical protein
PROD_00752	CDS	1404	asnS	6.1.1.22	COG0017	Asparagine--tRNA ligase
PROD_00753	CDS	816				hypothetical protein
PROD_00754	CDS	846	cvfB			Conserved virulence factor B
PROD_00755	CDS	738	yknY_1	3.6.3.-	COG1136	putative ABC transporter ATP-binding protein YknY
PROD_00756	CDS	2139	kefB_2			Glutathione-regulated potassium-efflux system protein KefB
PROD_00757	CDS	1011	asd	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase
PROD_00758	CDS	1413				hypothetical protein
PROD_00759	CDS	117				hypothetical protein
PROD_00760	CDS	1149	araJ		COG2814	Putative transporter AraJ
PROD_00761	CDS	669				hypothetical protein
PROD_00762	CDS	252				hypothetical protein
PROD_00763	CDS	660				hypothetical protein
PROD_00764	CDS	1143				hypothetical protein
PROD_00765	CDS	1137				hypothetical protein
PROD_00766	CDS	2784	gyrA_1	5.99.1.3		DNA gyrase subunit A
PROD_00767	CDS	843				hypothetical protein
PROD_00768	CDS	1035				hypothetical protein
PROD_00769	CDS	894				hypothetical protein
PROD_00770	CDS	1032	recA		COG0468	Protein RecA
PROD_00771	CDS	1239		1.5.1.43	COG1748	Carboxynorspermidine synthase
PROD_00772	CDS	558				hypothetical protein
PROD_00773	CDS	231				hypothetical protein
PROD_00774	CDS	810	rhaD	4.1.2.19	COG0235	Rhamnulose-1-phosphate aldolase
PROD_00775	CDS	552	proX		COG3760	Prolyl-tRNA editing protein ProX
PROD_00776	CDS	1272				hypothetical protein
PROD_00777	CDS	1995				hypothetical protein
PROD_00778	CDS	1398				hypothetical protein
PROD_00779	CDS	1194				hypothetical protein
PROD_00780	CDS	1671	susD			Starch-binding protein SusD
PROD_00781	CDS	3048	susC_1			TonB-dependent receptor SusC
PROD_00782	CDS	1002	cytR		COG1609	HTH-type transcriptional repressor CytR
PROD_00783	CDS	1314				hypothetical protein
PROD_00784	CDS	2679				hypothetical protein
PROD_00785	CDS	2145	susB	3.2.1.3		Glucan 1,4-alpha-glucosidase SusB
PROD_00786	CDS	1953	pulA	3.2.1.41	COG1523	Pullulanase
PROD_00787	CDS	1884	glgB_2	2.4.1.18		1,4-alpha-glucan branching enzyme GlgB
PROD_00788	CDS	1035	rhaT		COG0697	L-rhamnose-proton symporter
PROD_00789	CDS	1257	rhaA	5.3.1.14	COG4806	L-rhamnose isomerase
PROD_00790	CDS	1485	rhaB	2.7.1.5	COG1070	L-Rhamnulokinase
PROD_00791	CDS	1344	nhaD			Na(+)/H(+) antiporter NhaD
PROD_00792	CDS	873	araC			Arabinose operon regulatory protein
PROD_00793	CDS	2814	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
PROD_00794	CDS	2811	rcsC_3	2.7.13.3		Sensor histidine kinase RcsC
PROD_00795	CDS	1008	cysK1	2.5.1.47	COG0031	O-acetylserine sulfhydrylase
PROD_00796	CDS	561	frr		COG0233	Ribosome-recycling factor
PROD_00797	CDS	990	rsgA	3.6.1.-	COG1162	Small ribosomal subunit biogenesis GTPase RsgA
PROD_00798	CDS	1083	mnmA	2.8.1.13		tRNA-specific 2-thiouridylase MnmA
PROD_00799	CDS	249				hypothetical protein
PROD_00800	CDS	2925				hypothetical protein
PROD_00801	CDS	354				hypothetical protein
PROD_00802	CDS	543				hypothetical protein
PROD_00803	CDS	1986	apxIB		COG2274	Toxin RTX-I translocation ATP-binding protein
PROD_00804	CDS	3498				hypothetical protein
PROD_00805	CDS	312				hypothetical protein
PROD_00806	CDS	354				hypothetical protein
PROD_00807	CDS	1803	ilvD	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
PROD_00808	CDS	1704	ilvB_1	2.2.1.6	COG0028	Acetolactate synthase large subunit
PROD_00809	CDS	543	ilvH	2.2.1.6	COG0440	Putative acetolactate synthase small subunit
PROD_00810	CDS	762				hypothetical protein
PROD_00811	CDS	1050		1.1.1.382	COG0059	Ketol-acid reductoisomerase (NAD(+))
PROD_00812	CDS	426				hypothetical protein
PROD_00813	CDS	618	sodB	1.15.1.1	COG0605	Superoxide dismutase [Mn/Fe]
PROD_00814	CDS	1170				hypothetical protein
PROD_00815	CDS	2484				hypothetical protein
PROD_00816	CDS	1332	axe7A_2	3.1.1.-	COG3458	Acetyl esterase Axe7A
PROD_00817	CDS	756				hypothetical protein
PROD_00818	CDS	123				hypothetical protein
PROD_00819	CDS	423				hypothetical protein
PROD_00820	CDS	129				hypothetical protein
PROD_00821	CDS	579				hypothetical protein
PROD_00822	CDS	1425				hypothetical protein
PROD_00823	CDS	1752				hypothetical protein
PROD_00824	CDS	1056				hypothetical protein
PROD_00825	CDS	1284				hypothetical protein
PROD_00826	CDS	3270				hypothetical protein
PROD_00827	CDS	999				hypothetical protein
PROD_00828	CDS	591	pgdA	3.5.1.104	COG0726	Peptidoglycan-N-acetylglucosamine deacetylase
PROD_00829	CDS	3378				hypothetical protein
PROD_00830	CDS	534				hypothetical protein
PROD_00831	CDS	2820				hypothetical protein
PROD_00832	CDS	510				hypothetical protein
PROD_00833	CDS	969	xsa			Xylosidase/arabinosidase
PROD_00834	CDS	1110	xylI	3.2.1.8	COG3693	Endo-1,4-beta-xylanase A
PROD_00835	CDS	1509	yicJ		COG2211	Inner membrane symporter YicJ
PROD_00836	CDS	2547				hypothetical protein
PROD_00837	CDS	3321	susC_2			TonB-dependent receptor SusC
PROD_00838	CDS	1686				hypothetical protein
PROD_00839	CDS	1974				hypothetical protein
PROD_00840	CDS	1596				hypothetical protein
PROD_00841	CDS	3219				hypothetical protein
PROD_00842	CDS	1716				hypothetical protein
PROD_00843	CDS	918				hypothetical protein
PROD_00844	CDS	1494				hypothetical protein
PROD_00845	CDS	318				hypothetical protein
PROD_00846	CDS	396				hypothetical protein
PROD_00847	CDS	1569	xynC	3.2.1.136		Glucuronoxylanase XynC
PROD_00848	CDS	1791				hypothetical protein
PROD_00849	CDS	1671				hypothetical protein
PROD_00850	CDS	3903	rcsC_4	2.7.13.3		Sensor histidine kinase RcsC
PROD_00851	CDS	144				hypothetical protein
PROD_00852	CDS	417				hypothetical protein
PROD_00853	CDS	468	queF	1.7.1.13	COG0780	NADPH-dependent 7-cyano-7-deazaguanine reductase
PROD_00854	CDS	204				hypothetical protein
PROD_00855	CDS	684				hypothetical protein
PROD_00856	CDS	546				hypothetical protein
PROD_00857	CDS	792				hypothetical protein
PROD_00858	CDS	1992				hypothetical protein
PROD_00859	CDS	264				hypothetical protein
PROD_00860	CDS	291				hypothetical protein
PROD_00861	CDS	1329				hypothetical protein
PROD_00862	CDS	210				hypothetical protein
PROD_00863	CDS	1674				hypothetical protein
PROD_00864	CDS	993	menE	6.2.1.26	COG0318	2-succinylbenzoate--CoA ligase
PROD_00865	CDS	1032	menC	4.2.1.113		o-succinylbenzoate synthase
PROD_00866	CDS	819	menB	4.1.3.36	COG0447	1,4-dihydroxy-2-naphthoyl-CoA synthase
PROD_00867	CDS	1740	menD_2	2.2.1.9		2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase
PROD_00868	CDS	1125	menF	5.4.4.2		Isochorismate synthase MenF
PROD_00869	CDS	456	menI	3.1.2.28		1,4-dihydroxy-2-naphthoyl-CoA hydrolase
PROD_00870	CDS	981	glcK	2.7.1.2	COG1940	Glucokinase
PROD_00871	CDS	162				hypothetical protein
PROD_00872	CDS	1917	lysS	6.1.1.6		Lysine--tRNA ligase
PROD_00873	CDS	996	gpsA	1.1.1.94		Glycerol-3-phosphate dehydrogenase [NAD(P)+]
PROD_00874	CDS	1359	pgi	5.3.1.9	COG0166	Glucose-6-phosphate isomerase
